PID                 PPID                COMMAND
2759608             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759610             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759612             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759614             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759616             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759618             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759620             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759622             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759624             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759626             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759628             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
2759630             2759125             /opt/venv/bin/python /opt/venv/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=20186 --read-fd=141 --write-fd=144 --torch-key=agpTrHovUj2lUY/P/64LVNDZhpUQfCB357BNgn88EQ0=
