T,H,D,kv_len,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
64,16,512,136,1,1,0.0009765625,5.80944906687364e-05,28.896500589326024,28.53299956768751,30.503998277708888
64,16,512,136,2,1,0.0009765625,5.712516576750204e-05,50.88800098747015,50.41295080445707,50.975001067854464
64,16,512,136,4,1,0.0009765625,5.60152911930345e-05,50.87349854875356,50.50945037510246,51.213998813182116
64,16,512,136,8,1,0.0009765625,5.508629692485556e-05,50.44049757998437,50.22750119678676,51.66245100554079
64,16,512,136,16,1,0.0009765625,5.374718239181675e-05,50.97399989608675,50.896001630462706,51.3434992171824
64,16,512,388,1,1,0.00048828125,3.5776422009803355e-05,59.02499833609909,58.892948436550796,59.602499823085964
64,16,512,388,2,1,0.00048828125,3.537083466653712e-05,51.31049838382751,51.10700149089098,51.506998715922236
64,16,512,388,4,1,0.00048828125,3.473709512036294e-05,50.64799915999174,50.57500093244016,51.272500422783196
64,16,512,388,8,1,0.00048828125,3.422502049943432e-05,51.24349845573306,51.02945142425597,52.017500274814665
64,16,512,388,16,1,0.00048828125,3.340173861943185e-05,51.552499644458294,51.32945079822093,51.71649972908199
64,16,512,1024,1,1,0.00048828125,2.2911841369932517e-05,140.5554503435269,140.50399768166244,140.96345112193376
64,16,512,1024,2,1,0.00048828125,2.2782322048442438e-05,82.10195228457451,82.06799975596368,82.56945002358407
64,16,512,1024,4,1,0.00048828125,2.263428359583486e-05,51.859000814147294,51.58600106369704,52.170001436024904
64,16,512,1024,8,1,0.00048828125,2.2334916138788685e-05,56.693999795243144,56.63399933837354,56.98844906874001
64,16,512,1024,16,1,0.00048828125,2.187696736655198e-05,69.94650175329298,69.70895046833903,70.41000062599778
128,16,512,136,1,1,0.0009765625,5.804027387057431e-05,29.08100141212344,28.924498474225402,30.829000752419233
128,16,512,136,2,1,0.0009765625,5.688102464773692e-05,51.36200052220374,50.921450019814074,51.42194859217852
128,16,512,136,4,1,0.0009765625,5.608765422948636e-05,51.312000141479075,50.920998910441995,51.816500490531325
